resume_text,job_role,education,category,education_requirement,soft_skills_user,required_soft_skills,hard_skills_user,required_hard_skills_user,matched_skills,skill_gap,match_score
"education: bachelor's in civil engineering experience: 6 years skills: critical thinking, professionalism, structural analysis, responsibility, thermal systems, ethics, building codes, technical drawing, pcb design",geotechnical engineer,bachelor's in civil engineering,engineering,bachelor's in civil engineering,"['critical thinking', 'responsibility', 'professionalism', 'ethics']","['analysis', 'critical thinking', 'precision']","['technical drawing', 'structural analysis', 'building codes', 'thermal systems', 'pcb design']","['structural analysis', 'building codes', 'technical drawing']","['building codes', 'technical drawing', 'critical thinking', 'structural analysis']","['analysis', 'precision']",0.73
"education: bachelor's in marketing experience: 5 years skills: copywriting, creativity, strategic planning, python, adaptability, crm, attention to detail, communication, financial analysis, audit procedures",email marketing specialist,bachelor's in marketing,economy,bachelor's in marketing,"['attention to detail', 'communication', 'creativity', 'strategic planning', 'adaptability']","['communication', 'creativity', 'attention to detail']","['copywriting', 'crm', 'financial analysis', 'audit procedures', 'python']","['copywriting', 'crm', 'campaign management']","['crm', 'attention to detail', 'copywriting', 'creativity', 'communication']",['campaign management'],0.87
"education: bachelor's in robotics engineering experience: 7 years skills: quick thinking, embedded systems, problem solving, electrical systems, strategic thinking, microcontrollers, precision",robotics engineer,bachelor's in robotics engineering,engineering,bachelor's in robotics engineering,"['problem solving', 'strategic thinking', 'quick thinking', 'precision']","['creativity', 'problem solving', 'strategic thinking']","['microcontrollers', 'embedded systems', 'electrical systems']","['embedded systems', 'microcontrollers', 'matlab']","['embedded systems', 'microcontrollers', 'strategic thinking', 'problem solving']","['creativity', 'matlab']",0.73
"education: bachelor's in business experience: 3 years skills: team leadership, communication, business acumen, target setting, vue.js, typescript, sales strategy, technical writing",sales manager,bachelor's in business,economy,bachelor's in business,['business acumen'],"['decision making', 'communication', 'business acumen']",['crm'],['crm'],"['crm', 'business acumen']","['decision making', 'communication']",0.6
"education: bachelor's in multimedia experience: 8 years skills: texturing, problem solving, critical thinking, teamwork, budget control, rendering, strategic planning",fashion designer,bachelor's in multimedia,creative_design,bachelor's in fashion design|creative design certification,"['strategic planning', 'critical thinking', 'problem solving', 'budget control', 'teamwork']","['budget control', 'teamwork', 'business acumen']","['rendering', 'texturing']","['rendering', 'adobe creative suite']","['teamwork', 'budget control', 'rendering']","['business acumen', 'adobe creative suite']",0.48
"education: bachelor's in telecommunications engineering experience: 7 years skills: circuit design, leadership, responsibility, communication, process design, embedded systems, critical thinking, vehicle systems, electrical systems, teamwork, storytelling",telecommunications engineer,bachelor's in telecommunications engineering,engineering,bachelor's in telecommunications engineering,"['teamwork', 'critical thinking', 'communication', 'leadership', 'responsibility', 'storytelling']","['communication', 'critical thinking', 'teamwork']","['electrical systems', 'circuit design', 'embedded systems', 'process design', 'vehicle systems']","['circuit design', 'embedded systems', 'electrical systems']","['embedded systems', 'critical thinking', 'circuit design', 'electrical systems', 'teamwork', 'communication']",[],1.0
"education: bachelor's in information technology experience: 2 years skills: docker, mysql, responsibility, python, team work, precision, javascript, storytelling, linux, php",systems administrator,bachelor's in information technology,technology,bachelor's in information technology,"['responsibility', 'precision', 'storytelling', 'team work']","['responsibility', 'planning', 'problem solving']","['linux', 'mysql', 'docker', 'javascript', 'php', 'python']","['linux', 'mysql', 'docker']","['responsibility', 'mysql', 'linux', 'docker']","['problem solving', 'planning']",0.73
"education: bachelor's in information technology experience: 1 years skills: collaboration, awareness, leadership, communication, react, rest api, sql, adaptability, python, professionalism, php",php developer,bachelor's in information technology,technology,bachelor's in information technology,"['adaptability', 'communication', 'collaboration', 'professionalism', 'awareness', 'leadership']","['communication', 'adaptability', 'collaboration']","['php', 'rest api', 'sql', 'react', 'python']","['php', 'mysql', 'rest api']","['adaptability', 'collaboration', 'rest api', 'communication', 'php']",['mysql'],0.87
"education: bachelor's in law experience: 4 years skills: creativity, fire fighting, precision, legal drafting, emergency response",firefighter,bachelor's in law,law_and_public_services,public service certification|bachelor's in public administration,"['precision', 'creativity']","['creativity', 'strategic planning']","['emergency response', 'legal drafting']","['emergency response', 'fire fighting']","['creativity', 'emergency response']","['strategic planning', 'fire fighting']",0.4
"education: bachelor's in marine engineering experience: 3 years skills: embedded systems, adaptability, responsibility, vehicle systems, quick thinking, structural analysis, thermal systems, strategic thinking, negotiation",marine engineer,bachelor's in marine engineering,engineering,bachelor's in marine engineering,"['responsibility', 'adaptability', 'strategic thinking', 'quick thinking', 'negotiation']","['adaptability', 'responsibility', 'teamwork']","['vehicle systems', 'thermal systems', 'embedded systems', 'structural analysis']","['vehicle systems', 'thermal systems', 'technical drawing']","['vehicle systems', 'adaptability', 'responsibility', 'thermal systems']","['teamwork', 'technical drawing']",0.73
"education: law certification experience: 7 years skills: budget control, strategic planning, target setting, litigation, legal drafting, decision making, leadership, fire fighting, public administration",firefighter,law certification,law_and_public_services,public service certification|bachelor's in public administration,"['strategic planning', 'budget control', 'leadership', 'target setting', 'decision making']","['target setting', 'decision making', 'leadership', 'judgment']","['public administration', 'litigation', 'legal drafting']","['public administration', 'fire fighting']","['decision making', 'public administration', 'leadership', 'target setting']","['judgment', 'fire fighting']",0.53
"education: bachelor's in interior design experience: 0 years skills: negotiation, graphic design, ui design, empathy, adaptability, planning, wireframing, figma, analytical skills",graphic designer,bachelor's in interior design,creative_design,bachelor's in graphic design|creative design certification,"['adaptability', 'planning', 'empathy', 'analytical skills', 'negotiation']","['planning', 'negotiation', 'adaptability', 'judgment']","['wireframing', 'ui design', 'graphic design', 'figma']","['figma', 'graphic design', 'adobe creative suite']","['adaptability', 'planning', 'figma', 'negotiation', 'graphic design']","['judgment', 'adobe creative suite']",0.57
"education: bachelor's in graphic design experience: 7 years skills: texturing, responsibility, animation, responsive design, ui design, rendering, project management, ethics, web design",web designer,bachelor's in graphic design,creative_design,bachelor's in visual communication design|bachelor's in multimedia,"['responsibility', 'project management', 'ethics']","['responsibility', 'negotiation']","['rendering', 'web design', 'ui design', 'responsive design', 'animation', 'texturing']","['web design', 'responsive design', 'ui design', 'figma']","['responsive design', 'ui design', 'responsibility', 'web design']","['figma', 'negotiation']",0.53
"education: diploma in multimedia design experience: 0 years skills: communication, prototyping, video production, negotiation, web design, analysis, ux design, figma",ux designer,diploma in multimedia design,creative_design,bachelor's in visual communication design|bachelor's in multimedia,"['negotiation', 'analysis', 'communication']","['negotiation', 'friendlinessorganization']","['prototyping', 'ux design', 'web design', 'video production', 'figma']","['prototyping', 'figma', 'wireframing']","['prototyping', 'figma', 'negotiation']","['wireframing', 'friendlinessorganization']",0.48
"education: qa certification experience: 2 years skills: selenium, api testing, adaptability, manual testing, marketing, sql, bug tracking, test automation",qa engineer,quality assurance certification,technology,bachelor's in information technology,"['critical thinking', 'communication', 'teamwork']","['teamwork', 'communication', 'collaboration', 'problem solving']",['sql'],['sql'],"['sql', 'teamwork', 'communication']","['collaboration', 'problem solving']",0.48
"education: bachelor's in graphic design experience: 8 years skills: wireframing, 3d modeling, project management, attention to detail",ux designer,bachelor's in graphic design,creative_design,bachelor's in visual communication design|bachelor's in multimedia,"['attention to detail', 'project management']","['project management', 'professionalism']","['3d modeling', 'wireframing']","['wireframing', 'figma']","['project management', 'wireframing']","['professionalism', 'figma']",0.4
"education: associate in law experience: 1 years skills: legal knowledge, strategic planning, communication, legal research, attention to detail, web design, document preparation, organization",paralegal,associate in law,law_and_public_services,bachelor's in paralegal studies,"['ethics', 'analytical skills', 'responsibility']","['public speaking', 'responsibility', 'ethics']","['document preparation', 'legal research']","['document preparation', 'legal research']","['document preparation', 'responsibility', 'ethics', 'legal research']",['public speaking'],0.64
"education: bachelor's in graphic design experience: 8 years skills: graphic design, 3d modeling, animation, project management, collaboration, adaptability",illustrator,bachelor's in graphic design,creative_design,bachelor's in graphic design|creative design certification,"['adaptability', 'collaboration', 'project management']","['project management', 'strategic thinking']","['graphic design', '3d modeling', 'animation']","['graphic design', 'animation', 'adobe creative suite']","['project management', 'animation', 'graphic design']","['strategic thinking', 'adobe creative suite']",0.68
"education: bachelor's in marketing experience: 10 years skills: storytelling, copywriting, valuation, campaign management, excel, precision, brand strategy, creativity, seo, business acumen, negotiation",content marketing manager,bachelor's in marketing,economy,bachelor's in marketing,"['storytelling', 'creativity', 'negotiation', 'precision', 'business acumen']","['creativity', 'storytelling', 'communication']","['brand strategy', 'campaign management', 'copywriting', 'valuation', 'seo', 'excel']","['copywriting', 'brand strategy', 'campaign management']","['campaign management', 'copywriting', 'creativity', 'brand strategy', 'storytelling']",['communication'],0.87
"education: law certification experience: 9 years skills: policy knowledge, legal drafting, target setting, team work, tax law, time management, public administration",public relations officer,law certification,law_and_public_services,bachelor's in public administration|public service certification,"['team work', 'time management', 'target setting']","['target setting', 'team work', 'creativity']","['public administration', 'tax law', 'policy knowledge', 'legal drafting']","['policy knowledge', 'public administration', 'document preparation']","['policy knowledge', 'team work', 'public administration', 'target setting']","['document preparation', 'creativity']",0.53
"education: bachelor's in chemical engineering experience: 4 years skills: safety, data analysis, django, process design, laboratory skills, thermochemistry, numpy, chemical processes",chemical engineer,bachelor's in chemical engineering,engineering,bachelor's in chemical engineering,['data analysis'],['data analysis'],['process design'],['process design'],"['data analysis', 'process design']",[],1.0
"education: bachelor's in aerospace engineering experience: 5 years skills: critical thinking, technical drawing, vehicle systems, circuit design, creativity, problem solving, aerodynamics, microcontrollers, awareness",aerospace engineer,bachelor's in aerospace engineering,engineering,bachelor's in aerospace engineering,"['problem solving', 'creativity', 'awareness', 'critical thinking']","['critical thinking', 'problem solving', 'precision']","['aerodynamics', 'technical drawing', 'microcontrollers', 'circuit design', 'vehicle systems']","['aerodynamics', 'matlab', 'technical drawing']","['aerodynamics', 'technical drawing', 'critical thinking', 'problem solving']","['precision', 'matlab']",0.73
"education: bachelor's in law experience: 5 years skills: corporate law, awareness, criminal law, communication, emergency response, legal research, quick thinking, document preparation, critical thinking, collaboration",law clerk,bachelor's in law,law_and_public_services,diploma in legal studies|bachelor's in law,"['quick thinking', 'critical thinking', 'collaboration', 'communication', 'awareness']","['quick thinking', 'awareness', 'decision making', 'empathy']","['document preparation', 'legal research', 'emergency response', 'corporate law', 'criminal law']","['document preparation', 'legal research', 'case documentation']","['awareness', 'document preparation', 'legal research', 'quick thinking']","['decision making', 'case documentation', 'empathy']",0.66
"education: bachelor's in business administration experience: 7 years skills: collaboration, business acumen, crm, market analysis, python, financial analysis, responsibility",business development executive,bachelor's in business administration,economy,bachelor's in business administration,"['business acumen', 'responsibility', 'collaboration']","['negotiation', 'business acumen', 'communication']","['market analysis', 'financial analysis', 'crm', 'python']","['crm', 'market analysis', 'financial analysis']","['crm', 'financial analysis', 'business acumen', 'market analysis']","['communication', 'negotiation']",0.73
"education: bachelor's in graphic design experience: 7 years skills: business acumen, adobe creative suite, video production, analysis, collaboration, quick thinking, texturing, negotiation, graphic design",brand designer,bachelor's in graphic design,creative_design,bachelor's in graphic design|creative design certification,"['quick thinking', 'analysis', 'collaboration', 'negotiation', 'business acumen']","['business acumen', 'analysis', 'empathy']","['adobe creative suite', 'graphic design', 'texturing', 'video production']","['graphic design', 'adobe creative suite', 'figma']","['analysis', 'graphic design', 'business acumen', 'adobe creative suite']","['figma', 'empathy']",0.73
"education: bachelor's in marketing experience: 10 years skills: problem solving, brand strategy, crm, communication, project management, collaboration, creativity, data analysis, excel",crm specialist,bachelor's in marketing,economy,bachelor's in marketing,"['collaboration', 'communication', 'problem solving', 'creativity', 'project management']","['communication', 'collaboration', 'problem solving']","['data analysis', 'crm', 'excel', 'brand strategy']","['crm', 'data analysis', 'excel']","['excel', 'crm', 'collaboration', 'data analysis', 'communication', 'problem solving']",[],1.0
"education: bachelor's in computer science experience: 6 years skills: react, judgment, python, node.js, linux, problem solving, javascript, adaptability",full stack developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'judgment']","['problem solving', 'collaboration', 'adaptability']","['react', 'javascript', 'node.js', 'python', 'linux']","['javascript', 'node.js', 'react']","['adaptability', 'node.js', 'react', 'problem solving', 'javascript']",['collaboration'],0.87
"education: bachelor's in public administration experience: 0 years skills: document preparation, problem solving, legal drafting, emergency response, legal research, creativity, strategic thinking, attention to detail",paralegal,bachelor's in public administration,law_and_public_services,diploma in legal studies|law certification,"['strategic thinking', 'attention to detail', 'creativity', 'problem solving']","['creativity', 'attention to detail', 'judgment']","['document preparation', 'emergency response', 'legal drafting']","['legal drafting', 'document preparation', 'legal research']","['legal drafting', 'document preparation', 'creativity', 'attention to detail']","['judgment', 'legal research']",0.53
