resume_id,resume_text,skills,job_role,education,category,required_skills,education_requirement,soft_skills_user,hard_skills_user,soft_skills_req,hard_skills_req,soft_skills_match,hard_skills_match,match_score,skill_gap,matched_skills
r000000,"education: bachelor's in computer science experience: 2 years skills: market research, maven, java, rest api, spring boot, microservices, statistics, sql","['microservices', 'sql', 'maven', 'rest api']",java backend developer,bachelor's in computer science,technology,"['java', 'spring boot', 'sql', 'rest api', 'microservices', 'maven']",bachelor's in computer science,[],"['market research', 'maven', 'java', 'rest api', 'spring boot', 'microservices', 'statistics', 'sql']",[],"['java', 'spring boot', 'sql', 'rest api', 'microservices', 'maven']",[],"['spring boot', 'rest api', 'sql', 'microservices', 'maven', 'java']",0.6,"['java', 'spring boot']","['rest api', 'sql', 'microservices', 'maven']"
r000001,"education: master's in microbiology experience: 3 years skills: agile, data analysis, precision, problem solving, scala, research, business development, microbiology","['agile', 'laboratory work', 'data analysis', 'problem solving']",microbiologist,master's in microbiology,science & research,"['microbiology', 'laboratory work', 'research', 'data analysis', 'problem solving', 'precision']",master's in microbiology,['problem solving'],"['agile', 'data analysis', 'precision', 'scala', 'research', 'business development', 'microbiology', 'laboratory work']",['problem solving'],"['microbiology', 'laboratory work', 'research', 'data analysis', 'precision']",['problem solving'],"['research', 'precision', 'data analysis', 'microbiology', 'laboratory work']",0.7333333333333334,"['research', 'microbiology', 'precision']","['laboratory work', 'data analysis', 'problem solving']"
r000002,"education: apprenticeship experience: 2 years skills: react, customer service, technical knowledge, plumbing systems, problem solving, postgresql, code knowledge, creativity","['safety', 'code knowledge', 'creativity', 'postgresql', 'customer service']",plumber,apprenticeship,skilled trades,"['plumbing systems', 'safety', 'problem solving', 'technical knowledge', 'code knowledge', 'customer service']",trade school|apprenticeship,"['problem solving', 'creativity']","['react', 'customer service', 'technical knowledge', 'plumbing systems', 'postgresql', 'code knowledge', 'safety', 'ios']",['problem solving'],"['plumbing systems', 'safety', 'technical knowledge', 'code knowledge', 'customer service']",['problem solving'],"['plumbing systems', 'code knowledge', 'customer service', 'safety', 'technical knowledge']",0.7333333333333334,"['technical knowledge', 'plumbing systems', 'problem solving']","['customer service', 'safety', 'code knowledge']"
r000003,"education: bachelor's in computer science experience: 0 years skills: mysql, query optimization, symfony, terraform, php, html/css, api development, financial analysis","['laravel', 'terraform', 'api development', 'html/css', 'query optimization']",php developer,bachelor's in computer science,technology,"['php', 'laravel', 'symfony', 'mysql', 'api development', 'html/css']",bachelor's in computer science,[],"['mysql', 'query optimization', 'symfony', 'terraform', 'php', 'html/css', 'api development', 'financial analysis', 'web accessibility', 'laravel', 'c++']",[],"['php', 'laravel', 'symfony', 'mysql', 'api development', 'html/css']",[],"['mysql', 'api development', 'symfony', 'html/css', 'php', 'laravel']",0.6,"['mysql', 'symfony', 'php']","['html/css', 'api development', 'laravel']"
r000004,"education: bachelor's in design experience: 3 years skills: problem solving, docker, creativity, scrum, ansible, communication, team leadership, design principles","['visual communication', 'scrum', 'creativity', 'team leadership', 'artistic direction']",art director,bachelor's in design,creative & design,"['artistic direction', 'visual communication', 'team leadership', 'design principles', 'communication', 'creativity']",bachelor's in art|bachelor's in design,"['problem solving', 'creativity', 'communication']","['docker', 'scrum', 'ansible', 'team leadership', 'design principles', 'artistic direction', 'visual communication']","['communication', 'creativity']","['artistic direction', 'visual communication', 'team leadership', 'design principles']","['creativity', 'communication']","['visual communication', 'artistic direction', 'team leadership', 'design principles']",0.7599999999999999,"['communication', 'design principles']","['visual communication', 'artistic direction', 'team leadership', 'creativity']"
r000005,"education: administrative certification experience: 2 years skills: ci/cd, problem solving, database design, pytorch, deep learning, communication, executive support, discretion","['pytorch', 'communication', 'organization', 'executive support', 'database design']",executive assistant,administrative certification,administration,"['executive support', 'organization', 'communication', 'discretion', 'problem solving', 'leadership support']",bachelor's in business|administrative certification,"['problem solving', 'communication', 'creativity']","['ci/cd', 'database design', 'pytorch', 'deep learning', 'executive support', 'discretion', 'organization', 'leadership support']","['communication', 'problem solving']","['executive support', 'organization', 'discretion', 'leadership support']","['communication', 'problem solving']","['executive support', 'organization', 'leadership support', 'discretion']",0.7599999999999999,"['discretion', 'leadership support', 'problem solving']","['executive support', 'communication', 'organization']"
r000006,"education: bachelor's in computer science experience: 3 years skills: distributed systems, cql, cassandra, performance, nosql, scalability, business development, machine learning","['cql', 'cassandra', 'distributed systems', 'performance']",cassandra developer,bachelor's in computer science,technology,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",bachelor's in computer science,[],"['distributed systems', 'cql', 'cassandra', 'performance', 'nosql', 'scalability', 'business development', 'machine learning']",[],"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",[],"['nosql', 'performance', 'cassandra', 'scalability', 'distributed systems', 'cql']",0.6,"['nosql', 'scalability']","['distributed systems', 'performance', 'cql', 'cassandra']"
r000007,"education: bachelor's in it experience: 1 years skills: performance tuning, sql, etl, data integration, javascript, scikit-learn, kanban, web accessibility","['performance tuning', 'etl', 'informatica', 'scikit-learn', 'data integration']",informatica developer,bachelor's in information technology,data & analytics,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",bachelor's in information technology,[],"['performance tuning', 'sql', 'etl', 'data integration', 'javascript', 'scikit-learn', 'kanban', 'web accessibility', 'gcp', 'informatica', 'data quality']",[],"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",[],"['data quality', 'etl', 'sql', 'data integration', 'informatica', 'performance tuning']",0.6,"['data quality', 'sql']","['performance tuning', 'data integration', 'etl', 'informatica']"
r000008,"education: pt license experience: 4 years skills: communication, swift, anatomy knowledge, exercise prescription, physical therapy, patient assessment, compassion, php","['php', 'physical therapy', 'swift', 'patient assessment']",physical therapist,physical therapy license,healthcare,"['physical therapy', 'patient assessment', 'exercise prescription', 'communication', 'anatomy knowledge', 'compassion']",doctor of physical therapy|physical therapy license,['communication'],"['swift', 'anatomy knowledge', 'exercise prescription', 'physical therapy', 'patient assessment', 'compassion', 'php', 'strategic planning']",['communication'],"['physical therapy', 'patient assessment', 'exercise prescription', 'anatomy knowledge', 'compassion']",['communication'],"['anatomy knowledge', 'compassion', 'physical therapy', 'patient assessment', 'exercise prescription']",0.7333333333333334,"['anatomy knowledge', 'exercise prescription', 'communication', 'compassion']","['physical therapy', 'patient assessment']"
r000009,"education: bachelor's in computer science experience: 5 years skills: postgresql, distributed systems, kanban, phoenix framework, functional programming, compliance, elixir, erlang","['phoenix framework', 'kanban', 'postgresql', 'functional programming']",elixir developer,bachelor's in computer science,technology,"['elixir', 'phoenix framework', 'functional programming', 'erlang', 'distributed systems', 'problem solving']",bachelor's in computer science,['problem solving'],"['postgresql', 'distributed systems', 'kanban', 'phoenix framework', 'functional programming', 'compliance', 'elixir', 'erlang']",['problem solving'],"['elixir', 'phoenix framework', 'functional programming', 'erlang', 'distributed systems']",['problem solving'],"['functional programming', 'distributed systems', 'phoenix framework', 'elixir', 'erlang']",0.7333333333333334,"['distributed systems', 'elixir', 'erlang', 'problem solving']","['functional programming', 'phoenix framework']"
r000010,"education: master's in computer science experience: 6 years skills: statistics, research, deep learning, shell scripting, python, tensorflow, pytorch, network security","['python', 'research', 'tensorflow', 'statistics']",machine learning engineer,master's in computer science,technology,"['python', 'tensorflow', 'pytorch', 'deep learning', 'statistics', 'research']",master's in computer science|master's in artificial intelligence,[],"['statistics', 'research', 'deep learning', 'shell scripting', 'python', 'tensorflow', 'pytorch', 'network security']",[],"['python', 'tensorflow', 'pytorch', 'deep learning', 'statistics', 'research']",[],"['pytorch', 'research', 'statistics', 'python', 'deep learning', 'tensorflow']",0.6,"['pytorch', 'deep learning']","['research', 'statistics', 'python', 'tensorflow']"
r000011,"education: associate in broadcast technology experience: 1 years skills: technical knowledge, safety, jenkins, attention to detail, equipment operation, graphic design, troubleshooting, problem solving","['technical knowledge', 'troubleshooting', 'graphic design', 'equipment operation', 'attention to detail']",broadcast technician,associate in broadcast technology,entertainment & media,"['broadcasting', 'equipment operation', 'technical knowledge', 'troubleshooting', 'safety', 'attention to detail']",associate in broadcast technology,"['attention to detail', 'problem solving']","['technical knowledge', 'safety', 'jenkins', 'equipment operation', 'graphic design', 'troubleshooting', 'swift', 'broadcasting']",['attention to detail'],"['broadcasting', 'equipment operation', 'technical knowledge', 'troubleshooting', 'safety']",['attention to detail'],"['broadcasting', 'equipment operation', 'troubleshooting', 'safety', 'technical knowledge']",0.7333333333333334,"['safety', 'broadcasting']","['attention to detail', 'troubleshooting', 'technical knowledge', 'equipment operation']"
r000012,"education: bachelor's in environmental science experience: 4 years skills: problem solving, web accessibility, communication, environmental knowledge, conservation, react native, swift, r","['react native', 'conservation', 'web accessibility', 'safety', 'r']",conservation officer,bachelor's in environmental science,conservation,"['conservation', 'law enforcement', 'environmental knowledge', 'problem solving', 'communication', 'safety']",bachelor's in environmental science,"['problem solving', 'communication']","['web accessibility', 'environmental knowledge', 'conservation', 'react native', 'swift', 'r', 'safety', 'law enforcement', 'microservices']","['problem solving', 'communication']","['conservation', 'law enforcement', 'environmental knowledge', 'safety']","['communication', 'problem solving']","['safety', 'conservation', 'environmental knowledge', 'law enforcement']",0.7599999999999999,"['communication', 'environmental knowledge', 'law enforcement', 'problem solving']","['safety', 'conservation']"
r000013,"education: bachelor's in computer science experience: 4 years skills: problem solving, clojure, lispyscript, concurrency, functional programming, java interop, node.js, presentation skills","['clojure', 'problem solving', 'node.js', 'concurrency']",clojure developer,bachelor's in computer science,technology,"['clojure', 'functional programming', 'java interop', 'lispyscript', 'problem solving', 'concurrency']",bachelor's in computer science,['problem solving'],"['clojure', 'lispyscript', 'concurrency', 'functional programming', 'java interop', 'node.js', 'presentation skills']",['problem solving'],"['clojure', 'functional programming', 'java interop', 'lispyscript', 'concurrency']",['problem solving'],"['concurrency', 'java interop', 'clojure', 'functional programming', 'lispyscript']",0.7333333333333334,"['java interop', 'functional programming', 'lispyscript']","['concurrency', 'clojure', 'problem solving']"
