resume_text,job_role,education,category,education_requirement,soft_skills_user,required_soft_skills,hard_skills_user,required_hard_skills_user
"education: bachelor's in computer science experience: 2 years skills: market research, maven, java, rest api, spring boot, microservices, statistics, sql",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'teamwork']","['teamwork', 'communication']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 0 years skills: mysql, query optimization, symfony, terraform, php, html/css, api development, financial analysis",php developer,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['financial analysis', 'adaptability']","['mysql', 'php']","['mysql', 'php']"
"education: it certification experience: 5 years skills: ansible, kubernetes, graphic design, scikit-learn, linux, scripting, docker, documentation",devops engineer,information technology certification,technology,bachelor's in computer science,"['problem solving', 'critical thinking']","['problem solving', 'critical thinking']","['linux', 'docker']","['linux', 'docker']"
"education: bachelor's in it experience: 1 years skills: database optimization, security, marketing, sql, mongodb, backup recovery, linux, financial analysis",database administrator,bachelor's in information technology,technology,bachelor's in information technology,['financial analysis'],"['problem solving', 'financial analysis']","['sql', 'linux']","['sql', 'linux']"
"education: networking certification experience: 5 years skills: routing, networking, adobe creative suite, tcp/ip, configuration, cisco, security, flutter",network engineer,networking certification,technology,bachelor's in information technology,"['problem solving', 'communication']","['problem solving', 'teamwork', 'communication']",['networking'],['networking']
"education: it certification experience: 2 years skills: aws, cassandra, ci/cd, java, terraform, react native, linux, kubernetes",devops engineer,information technology certification,technology,bachelor's in computer science,"['collaboration', 'adaptability', 'problem solving']","['problem solving', 'teamwork', 'adaptability']","['linux', 'docker', 'java']","['linux', 'docker']"
"education: qa certification experience: 1 years skills: sql, api testing, manual testing, test automation, react, serverless, mongodb, bug tracking",qa engineer,quality assurance certification,technology,bachelor's in information technology,"['teamwork', 'problem solving']","['teamwork', 'adaptability', 'collaboration']","['sql', 'react']",['sql']
"education: cloud certification experience: 7 years skills: aws, networking, oracle, c#, system design, security, seo, gcp",cloud architect,cloud certification,technology,bachelor's in computer science,"['critical thinking', 'collaboration', 'problem solving']","['problem solving', 'adaptability']","['javascript', 'networking']",['networking']
"education: diploma in it experience: 2 years skills: javascript, ui/ux design, css, html, scrum, kanban, vue.js, react",frontend developer,diploma in information technology,technology,bachelor's in computer science,"['adaptability', 'collaboration', 'problem solving']","['problem solving', 'critical thinking']","['javascript', 'react']","['javascript', 'react']"
"education: bachelor's in computer science experience: 4 years skills: maven, jenkins, java, security architecture, sql, spring boot, microservices, communication",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork', 'collaboration']","['problem solving', 'teamwork', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 2 years skills: android, flutter, spring boot, maven, microservices, sql, rest api, java",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving']","['problem solving', 'critical thinking']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 3 years skills: html, ui/ux design, user interface, vue.js, css, agile, javascript, react",frontend developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication']","['problem solving', 'adaptability', 'communication']","['javascript', 'react']","['javascript', 'react']"
"education: security certification experience: 2 years skills: aws, security protocols, networking, risk analysis, firewalls, encryption, html, penetration testing",cybersecurity specialist,security certification,technology,bachelor's in cybersecurity,['risk analysis'],['risk analysis'],"['docker', 'networking']",['networking']
