resume_id,resume_text,skills,job_role,education,category,required_skills,education_requirement
r000000,"education: bachelor's in computer science experience: 2 years skills: market research, maven, java, rest api, spring boot, microservices, statistics, sql","['market research', 'maven', 'java', 'rest api', 'spring boot', 'microservices', 'statistics', 'sql']",java backend developer,bachelor's in computer science,technology,"['java', 'spring boot', 'sql', 'rest api', 'microservices', 'maven']",bachelor's in computer science
r000001,"education: master's in microbiology experience: 3 years skills: agile, data analysis, precision, problem solving, scala, research, business development, microbiology","['agile', 'data analysis', 'precision', 'problem solving', 'scala', 'research', 'business development', 'microbiology', 'laboratory work']",microbiologist,master's in microbiology,science & research,"['microbiology', 'laboratory work', 'research', 'data analysis', 'problem solving', 'precision']",master's in microbiology
r000002,"education: apprenticeship experience: 2 years skills: react, customer service, technical knowledge, plumbing systems, problem solving, postgresql, code knowledge, creativity","['react', 'customer service', 'technical knowledge', 'plumbing systems', 'problem solving', 'postgresql', 'code knowledge', 'creativity', 'safety', 'ios']",plumber,apprenticeship,skilled trades,"['plumbing systems', 'safety', 'problem solving', 'technical knowledge', 'code knowledge', 'customer service']",trade school|apprenticeship
r000003,"education: bachelor's in computer science experience: 0 years skills: mysql, query optimization, symfony, terraform, php, html/css, api development, financial analysis","['mysql', 'query optimization', 'symfony', 'terraform', 'php', 'html/css', 'api development', 'financial analysis', 'web accessibility', 'laravel', 'c++']",php developer,bachelor's in computer science,technology,"['php', 'laravel', 'symfony', 'mysql', 'api development', 'html/css']",bachelor's in computer science
r000004,"education: bachelor's in design experience: 3 years skills: problem solving, docker, creativity, scrum, ansible, communication, team leadership, design principles","['problem solving', 'docker', 'creativity', 'scrum', 'ansible', 'communication', 'team leadership', 'design principles', 'artistic direction', 'visual communication']",art director,bachelor's in design,creative & design,"['artistic direction', 'visual communication', 'team leadership', 'design principles', 'communication', 'creativity']",bachelor's in art|bachelor's in design
r000005,"education: administrative certification experience: 2 years skills: ci/cd, problem solving, database design, pytorch, deep learning, communication, executive support, discretion","['ci/cd', 'problem solving', 'database design', 'pytorch', 'deep learning', 'communication', 'executive support', 'discretion', 'organization', 'leadership support', 'creativity']",executive assistant,administrative certification,administration,"['executive support', 'organization', 'communication', 'discretion', 'problem solving', 'leadership support']",bachelor's in business|administrative certification
r000006,"education: bachelor's in computer science experience: 3 years skills: distributed systems, cql, cassandra, performance, nosql, scalability, business development, machine learning","['distributed systems', 'cql', 'cassandra', 'performance', 'nosql', 'scalability', 'business development', 'machine learning']",cassandra developer,bachelor's in computer science,technology,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",bachelor's in computer science
r000007,"education: bachelor's in it experience: 1 years skills: performance tuning, sql, etl, data integration, javascript, scikit-learn, kanban, web accessibility","['performance tuning', 'sql', 'etl', 'data integration', 'javascript', 'scikit-learn', 'kanban', 'web accessibility', 'gcp', 'informatica', 'data quality']",informatica developer,bachelor's in information technology,data & analytics,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",bachelor's in information technology
r000008,"education: pt license experience: 4 years skills: communication, swift, anatomy knowledge, exercise prescription, physical therapy, patient assessment, compassion, php","['communication', 'swift', 'anatomy knowledge', 'exercise prescription', 'physical therapy', 'patient assessment', 'compassion', 'php', 'strategic planning']",physical therapist,physical therapy license,healthcare,"['physical therapy', 'patient assessment', 'exercise prescription', 'communication', 'anatomy knowledge', 'compassion']",doctor of physical therapy|physical therapy license
r000009,"education: bachelor's in computer science experience: 5 years skills: postgresql, distributed systems, kanban, phoenix framework, functional programming, compliance, elixir, erlang","['postgresql', 'distributed systems', 'kanban', 'phoenix framework', 'functional programming', 'compliance', 'elixir', 'erlang', 'problem solving']",elixir developer,bachelor's in computer science,technology,"['elixir', 'phoenix framework', 'functional programming', 'erlang', 'distributed systems', 'problem solving']",bachelor's in computer science
r000010,"education: master's in computer science experience: 6 years skills: statistics, research, deep learning, shell scripting, python, tensorflow, pytorch, network security","['statistics', 'research', 'deep learning', 'shell scripting', 'python', 'tensorflow', 'pytorch', 'network security']",machine learning engineer,master's in computer science,technology,"['python', 'tensorflow', 'pytorch', 'deep learning', 'statistics', 'research']",master's in computer science|master's in artificial intelligence
r000011,"education: associate in broadcast technology experience: 1 years skills: technical knowledge, safety, jenkins, attention to detail, equipment operation, graphic design, troubleshooting, problem solving","['technical knowledge', 'safety', 'jenkins', 'attention to detail', 'equipment operation', 'graphic design', 'troubleshooting', 'problem solving', 'swift', 'broadcasting']",broadcast technician,associate in broadcast technology,entertainment & media,"['broadcasting', 'equipment operation', 'technical knowledge', 'troubleshooting', 'safety', 'attention to detail']",associate in broadcast technology
r000012,"education: bachelor's in environmental science experience: 4 years skills: problem solving, web accessibility, communication, environmental knowledge, conservation, react native, swift, r","['problem solving', 'web accessibility', 'communication', 'environmental knowledge', 'conservation', 'react native', 'swift', 'r', 'safety', 'law enforcement', 'microservices']",conservation officer,bachelor's in environmental science,conservation,"['conservation', 'law enforcement', 'environmental knowledge', 'problem solving', 'communication', 'safety']",bachelor's in environmental science
r000013,"education: bachelor's in computer science experience: 4 years skills: problem solving, clojure, lispyscript, concurrency, functional programming, java interop, node.js, presentation skills","['problem solving', 'clojure', 'lispyscript', 'concurrency', 'functional programming', 'java interop', 'node.js', 'presentation skills']",clojure developer,bachelor's in computer science,technology,"['clojure', 'functional programming', 'java interop', 'lispyscript', 'problem solving', 'concurrency']",bachelor's in computer science
r000014,"education: bachelor's in computer science experience: 3 years skills: account management, problem solving, client relations, python, communication, business acumen, technical knowledge, product knowledge","['account management', 'problem solving', 'client relations', 'python', 'communication', 'business acumen', 'technical knowledge', 'product knowledge']",technical account manager,bachelor's in computer science,technology,"['account management', 'technical knowledge', 'communication', 'problem solving', 'client relations', 'product knowledge']",bachelor's in computer science
